service_id,date,exception_type
agSQU13-SQWKY13-Weekday-03,20150907,2
agSQU13-SQWKY13-Weekday-03,20151012,2
agSQU13-SQWKY13-Weekday-03,20151111,2
agSQU13-SQWKY13-Weekday-03,20151225,2
agSQU13-SQU13-Sunday-03,20150209,1
agSQU13-SQU13-Sunday-03,20150403,1
agSQU13-SQU13-Sunday-03,20150406,1
agSQU13-SQU13-Sunday-03,20150518,1
agSQU13-SQU13-Sunday-03,20150701,1
agSQU13-SQU13-Sunday-03,20150803,1
agSQU13-SQU13-Sunday-03,20150907,1
agSQU13-SQU13-Sunday-03,20151012,1
agSQU13-SQU13-Sunday-03,20151111,1
agSQU13-SQU13-Sunday-03,20151225,1
agSQU13-SQU13-Sunday-03,20151226,1
ah1501-WK1501-Weekday-03,20150209,2
ah1501-WK1501-Weekday-03-0010100,20150209,2
ah1501-WK1501-Weekday-03-1101000,20150209,2
ah1501-WK1501-Weekday-03-0000100,20150209,2
ah1501-WK1501-Weekday-03-1111000,20150209,2
ah1501-SATJAN15-Saturday-13,20150209,1
ah1501-SUNJan15-Sunday-09,20150403,1
aiWINT15-WINT15-7-days-25,20150119,2
aiWINT15-WINT15-7-days-25-0000111,20150119,2
aiWINT15-WINT15-7-days-25,20150209,2
aiWINT15-WINT15-7-days-25-0000111,20150209,2
aiWINT15-WINT15-7-days-25,20150216,2
aiWINT15-WINT15-7-days-25-0000111,20150216,2
aiWINT15-WINT15-7-days-25,20150403,2
aiWINT15-WINT15-7-days-25-0000111,20150403,2
aiWINT15-WINT15-7-days-29,20150120,2
aiWINT15-WINT15-7-days-29,20150121,2
aiWINT15-WINT15-7-days-29,20150122,2
aiWINT15-WINT15-7-days-29,20150123,2
aiWINT15-WINT15-7-days-29,20150124,2
aiWINT15-WINT15-7-days-29,20150125,2
aiWINT15-WINT15-7-days-29,20150126,2
aiWINT15-WINT15-7-days-29,20150127,2
aiWINT15-WINT15-7-days-29,20150128,2
aiWINT15-WINT15-7-days-29,20150129,2
aiWINT15-WINT15-7-days-29,20150130,2
aiWINT15-WINT15-7-days-29,20150131,2
aiWINT15-WINT15-7-days-29,20150201,2
aiWINT15-WINT15-7-days-29,20150202,2
aiWINT15-WINT15-7-days-29,20150203,2
aiWINT15-WINT15-7-days-29,20150204,2
aiWINT15-WINT15-7-days-29,20150205,2
aiWINT15-WINT15-7-days-29,20150206,2
aiWINT15-WINT15-7-days-29,20150207,2
aiWINT15-WINT15-7-days-29,20150208,2
aiWINT15-WINT15-7-days-29,20150210,2
aiWINT15-WINT15-7-days-29,20150211,2
aiWINT15-WINT15-7-days-29,20150212,2
aiWINT15-WINT15-7-days-29,20150213,2
aiWINT15-WINT15-7-days-29,20150214,2
aiWINT15-WINT15-7-days-29,20150215,2
aiWINT15-WINT15-7-days-29,20150217,2
aiWINT15-WINT15-7-days-29,20150218,2
aiWINT15-WINT15-7-days-29,20150219,2
aiWINT15-WINT15-7-days-29,20150220,2
aiWINT15-WINT15-7-days-29,20150221,2
aiWINT15-WINT15-7-days-29,20150222,2
aiWINT15-WINT15-7-days-29,20150223,2
aiWINT15-WINT15-7-days-29,20150224,2
aiWINT15-WINT15-7-days-29,20150225,2
aiWINT15-WINT15-7-days-29,20150226,2
aiWINT15-WINT15-7-days-29,20150227,2
aiWINT15-WINT15-7-days-29,20150228,2
aiWINT15-WINT15-7-days-29,20150301,2
aiWINT15-WINT15-7-days-29,20150302,2
aiWINT15-WINT15-7-days-29,20150303,2
aiWINT15-WINT15-7-days-29,20150304,2
